model,response_lang,anchor_lang,mean_400,mean_800,delta_mean,rowcentered_400,rowcentered_800,delta_rowcentered
claude-haiku-4-5,en,en,0.7396657470002593,0.7368999978036865,-0.0027657491965727976,0.1798855239505576,0.1815673471230571,0.0016818231724995136
claude-haiku-4-5,en,ru,0.4993086619625132,0.495604997228788,-0.0037036647337252426,-0.0604715610871884,-0.0597276534518413,0.0007439076353471033
claude-haiku-4-5,en,uk,0.4403662601863323,0.4334929570094136,-0.006873303176918699,-0.1194139628633693,-0.1218396936712158,-0.002425730807846499
claude-haiku-4-5,ru,en,0.6158362307083957,0.6087173014827874,-0.007118929225608306,0.0188478975243115,0.0194350473365553,0.0005871498122438021
claude-haiku-4-5,ru,ru,0.6372884453283404,0.6292999591703232,-0.007988486158017172,0.0403001121442563,0.0400177050240911,-0.0002824071201652026
claude-haiku-4-5,ru,uk,0.5378403235155162,0.5298295017855856,-0.008010821729930617,-0.0591480096685678,-0.0594527523606464,-0.0003047426920785995
claude-haiku-4-5,uk,en,0.5489189361015994,0.5489562931026578,3.735700105844675e-05,-0.0124873111857918,-0.0069757065484328,0.005511604637359
claude-haiku-4-5,uk,ru,0.5466796461508454,0.5465595377990807,-0.0001201083517646806,-0.0147266011365457,-0.0093724618520099,0.0053541392845358
claude-haiku-4-5,uk,uk,0.5886201596097286,0.5722801680515333,-0.01633999155819532,0.0272139123223373,0.0163481684004426,-0.0108657439218947
gpt-4o-mini,en,en,0.7415227354948745,0.7421836133422844,0.0006608778474099797,0.181393297545974,0.1800039022721391,-0.001389395273834887
gpt-4o-mini,en,ru,0.5032078240609055,0.5062166478557327,0.0030088237948272534,-0.0569216138879949,-0.0559630632144125,0.0009585506735824006
gpt-4o-mini,en,uk,0.4356577542909215,0.4381388720124186,0.0024811177214970614,-0.1244716836579789,-0.1240408390577266,0.000430844600252292
gpt-4o-mini,ru,en,0.6097876973495124,0.6132159924062824,0.0034282950567700032,0.0034921935894242,0.0015309303837778,-0.0019612632056464005
gpt-4o-mini,ru,ru,0.6616888989025835,0.6698704579768365,0.008181559074252998,0.0553933951424953,0.0581853959543319,0.0027920008118366008
gpt-4o-mini,ru,uk,0.5474099150281688,0.5519687356843949,0.004558820656226037,-0.0588855887319194,-0.0597163263381097,-0.0008307376061902974
gpt-4o-mini,uk,en,0.5562584811187458,0.5583016307372578,0.0020431496185120412,-0.024404640548707,-0.0255148699459666,-0.0011102293972595975
gpt-4o-mini,uk,ru,0.5712322834987562,0.5807343811694519,0.009502097670695653,-0.0094308381686966,-0.0030821195137725,0.006348718654924101
gpt-4o-mini,uk,uk,0.6144986003848562,0.6124134901429634,-0.002085110241892729,0.0338354787174033,0.0285969894597389,-0.005238489257664399
gemini-2.5-flash,en,en,0.7284952340671175,0.7197467440922978,-0.008748489974819695,0.1809768508658706,0.1797205437471354,-0.0012563071187352004
gemini-2.5-flash,en,ru,0.4865891454922937,0.477819535439789,-0.008769610052504706,-0.060929237708953,-0.0622066649053733,-0.0012774271964203013
gemini-2.5-flash,en,uk,0.4274707700443295,0.4225123215034,-0.004958448540929472,-0.1200476131569173,-0.1175138788417623,0.002533734315154995
gemini-2.5-flash,ru,en,0.6072670773580043,0.614444991495213,0.007177914137208696,0.001068054834155,-0.0002768375823153,-0.0013448924164703
gemini-2.5-flash,ru,ru,0.6515695615329236,0.662812653102672,0.011243091569748453,0.0453705390090742,0.0480908240251436,0.0027202850160693987
gemini-2.5-flash,ru,uk,0.55976042868062,0.5669078426347001,0.0071474139540800286,-0.0464385938432292,-0.0478139864428283,-0.0013753925995990957
gemini-2.5-flash,uk,en,0.5635887858130975,0.55623133750029,-0.007357448312807491,-0.0177384676130906,-0.025186841127376,-0.0074483735142854
gemini-2.5-flash,uk,ru,0.5616843189979555,0.5668737824730239,0.005189463475068434,-0.0196429344282326,-0.014544396154642,0.0050985382735905995
gemini-2.5-flash,uk,uk,0.6187086554675113,0.6211494159096842,0.0024407604421728957,0.0373814020413232,0.0397312372820182,0.002349835240695
grok-3-mini,en,en,0.757959256062294,0.7483229345841882,-0.00963632147810578,0.1837449196333818,0.1837582663720099,1.334673862810054e-05
grok-3-mini,en,ru,0.5167414364158747,0.5086178721677217,-0.00812356424815297,-0.0574729000130375,-0.0559467960444565,0.001526103968581001
grok-3-mini,en,uk,0.4479423168085679,0.4367531978846246,-0.011189118923943309,-0.1262720196203443,-0.1278114703275535,-0.0015394507072092056
grok-3-mini,ru,en,0.6349517481953731,0.6261774859992086,-0.008774262196164506,0.0047288969444574,0.0054899777083416,0.0007610807638841997
grok-3-mini,ru,ru,0.6835025771629518,0.6712111867339099,-0.012291390429041926,0.0532797259120361,0.0505236784430429,-0.002756047468993196
grok-3-mini,ru,uk,0.5722142283944222,0.5646738521394824,-0.007540376254939751,-0.0580086228564935,-0.0560136561513845,0.0019949667051089998
grok-3-mini,uk,en,0.5883040687290221,0.571626646360563,-0.01667742236845904,-0.0198247902551526,-0.0205893621586646,-0.0007645719035119999
grok-3-mini,uk,ru,0.5994183304474352,0.5841771909099583,-0.015241139537476855,-0.0087105285367394,-0.0080388176092693,0.0006717109274700997
grok-3-mini,uk,uk,0.6366641777760668,0.6208441882871619,-0.01581998948890484,0.028535318791892,0.0286281797679341,9.2860976042098e-05
deepseek-chat,en,en,0.7154788498277425,0.7208209477848159,0.005342097957073411,0.167310213342676,0.1676141615794858,0.0003039482368097923
deepseek-chat,en,ru,0.4944363314921164,0.4988654126449318,0.004429081152815373,-0.0537323049929499,-0.0543413735603982,-0.000609068567448301
deepseek-chat,en,uk,0.4345907281353403,0.4399339981862425,0.005343270050902238,-0.1135779083497261,-0.1132727880190874,0.0003051203306387029
deepseek-chat,ru,en,0.4923123228418129,0.5052806170928706,0.012968294251057721,-0.0139917075384209,-0.0108853065198222,0.0031064010185987007
deepseek-chat,ru,ru,0.5522490072325501,0.5616547756359338,0.009405768403383696,0.0459449768523162,0.0454888520232409,-0.00045612482907530366
deepseek-chat,ru,uk,0.4743507610663385,0.4815623781092739,0.007211617042935381,-0.0319532693138953,-0.0346035455034189,-0.002650276189523605
deepseek-chat,uk,en,0.5037349053137666,0.5003901891478454,-0.0033447161659212465,-0.021129558612551,-0.0215617482114298,-0.0004321895988788002
deepseek-chat,uk,ru,0.5149169775266288,0.5123615178489515,-0.002555459677677341,-0.0099474863996888,-0.0095904195103238,0.0003570668893649997
deepseek-chat,uk,uk,0.5559415089385578,0.5531041050810288,-0.002837403857528953,0.03107704501224,0.0311521677217535,7.512270951350042e-05
