model,openai_te3s_en_diag,openai_te3s_en_ci,openai_te3s_ru_diag,openai_te3s_ru_ci,openai_te3s_uk_diag,openai_te3s_uk_ci,alibaba_v3_en_diag,alibaba_v3_en_ci,alibaba_v3_ru_diag,alibaba_v3_ru_ci,alibaba_v3_uk_diag,alibaba_v3_uk_ci,gemini_001_en_diag,gemini_001_en_ci,gemini_001_ru_diag,gemini_001_ru_ci,gemini_001_uk_diag,gemini_001_uk_ci,yandex_doc_en_diag,yandex_doc_en_ci,yandex_doc_ru_diag,yandex_doc_ru_ci,yandex_doc_uk_diag,yandex_doc_uk_ci
claude-haiku-4-5,0.1798855239505576,0.0153320502264032,0.0403001121442563,0.0137332164963611,0.0272139123223373,0.0219239944326317,0.0436397146887548,0.0112808576743109,0.0260727331597935,0.0120567577501573,0.0586441862416878,0.0136754256938362,0.0252011402799784,0.0077341365306378,0.0154115218073798,0.0067939816219551,0.0189038888265365,0.0094685155966907,0.0869870130991951,0.0098338924411171,0.0492254260607498,0.0145063586705343,0.0843543166136456,0.0131955876596844
gpt-4o-mini,0.181393297545974,0.0263415582929551,0.0553933951424953,0.0145747712597299,0.0338354787174033,0.0182453081972135,0.0438298235965908,0.0155270921458744,0.0278114740292624,0.0123173351324457,0.0686263158510082,0.0117765446943424,0.0275284258100806,0.0142003573634471,0.0144886058842709,0.0083467806825396,0.0156641854971644,0.0081253223641481,0.0893216115197751,0.0158409101442604,0.0518125379773155,0.0110382709463432,0.1079958760127771,0.0091335062915999
gemini-2.5-flash,0.1809768508658706,0.0226185102656006,0.0453705390090742,0.0139621233636639,0.0373814020413232,0.0163256050515461,0.0495212801494947,0.0162275923071153,0.0248535969550414,0.0119210626498007,0.0726531287809681,0.0146905752169845,0.0287937553273903,0.0153922238550844,0.0148801859819603,0.008692622502181,0.0182713222492989,0.0114230433821124,0.0988691196509926,0.0184633759636869,0.0485094745921208,0.0110560333751655,0.1050510145223464,0.0144862155897917
grok-3-mini,0.1837449196333818,0.0234686649669917,0.0532797259120361,0.0153334497249477,0.028535318791892,0.0184366532871824,0.0562193894265719,0.012328064095694,0.0264759498540352,0.0131225995679042,0.0764433764495841,0.0094215486121286,0.029141933655163,0.0101904262838128,0.0159254788369713,0.0081104566258211,0.0147309547911216,0.0083156558300701,0.1012074403251627,0.0105374245734314,0.0505137782132405,0.011777886632508,0.097255043589253,0.0107444981110189
mercury-2,0.1487577210481896,0.0556649822310576,0.0372360550511698,0.0457925417158264,0.0321739235824316,0.0411709450106252,0.0426846147378834,0.0309075469820364,0.0227133024672306,0.031710810896483,0.0579733942564447,0.0303681061904675,0.0227999997522185,0.0268532073171147,0.0136602301193332,0.0237526834314235,0.0188756720859667,0.0233283234989848,0.0804921364811481,0.0465330247520029,0.0428488547039658,0.040967151284951,0.0832043920472607,0.0386894940611259
deepseek-chat,0.167310213342676,0.0236250343009303,0.0459449768523162,0.0459947526737332,0.03107704501224,0.0332448472152312,0.0498876472637238,0.0125672802038435,0.0169649834669093,0.0314697700256822,0.0598550600823919,0.0293558136157295,0.0259156283370297,0.007038494217727,0.0143629612590018,0.0214552796971076,0.0146250986682936,0.0166476813610173,0.0916486384631523,0.0075268049483578,0.0568044032722837,0.0441346981704039,0.1014279926158986,0.0278362610069768
qwen-plus,0.1716298956994089,0.0248071512595103,0.0461381569897356,0.0133972784230915,0.0363834841726444,0.0213619347637918,0.0549218239377339,0.0132342968909541,0.0228287628366179,0.0103052050733039,0.0716726244101886,0.0080338518294396,0.0258344363986208,0.010756518426779,0.0160047897815323,0.007163684602278,0.0172999836452952,0.0066050397886395,0.0937838673666702,0.009358090673379,0.0494016278177917,0.0131530015378898,0.0902272685559122,0.0074911117200496
glm-4.5,0.1753713236821168,0.0204689672764878,0.0482282068038149,0.0149944739156304,0.0385377217387225,0.0200639426724849,0.0554703576300895,0.0111984985877403,0.0276664385853336,0.0136304291218651,0.0697363603288897,0.0094980298301771,0.0298770186779701,0.0105145796228289,0.0145708193591997,0.0095221342273241,0.0169707742699454,0.0068375065350738,0.1087123508456123,0.0135182492594042,0.048780670856203,0.01237947583867,0.1025321700705624,0.0068668444198341
baidu/ernie-4.5-300b-a47b,0.1819559359400627,0.0202527676762123,0.0495323807851105,0.0114845990161796,0.0339374807194661,0.0170510228440921,0.0519188500717293,0.0112285935970512,0.0191755283331802,0.0162133226683346,0.0632023612510276,0.0137880660027531,0.0258052604723113,0.009466869360159,0.0104327544857976,0.0098872935560962,0.0167220851483809,0.0069724219831119,0.1025780210274648,0.0093572241318485,0.0409934793319836,0.0158322061592699,0.1117287065083061,0.0079353421551805
c4ai-aya-expanse-32b,0.1923191848628653,0.0263860004000069,0.0561499285635223,0.0186676658960846,0.0454758590172665,0.0188750028389003,0.0525975719601035,0.0152536322432563,0.0286101929981907,0.0131854766640905,0.0720491743013834,0.0120306744163375,0.0300461307458057,0.015016659006074,0.0159462897409432,0.0093657149025998,0.0195093872820703,0.0113412136321849,0.0963797244152394,0.0173315491064642,0.0577337754423397,0.010038948438276,0.1039177741231877,0.0094156933035708
command-r7b-arabic-02-2025,0.1880049004418501,0.0244021882774352,0.0507377615537466,0.0250786922055353,0.0306495225964553,0.0229909708641647,0.0500669013837107,0.0140831244049934,0.0285430211515992,0.0181817556453073,0.0648378969839309,0.0152152148327632,0.0269967411982133,0.0133946792588279,0.0143027828175616,0.0129366537671278,0.0183540360136795,0.0130287553960403,0.0980753294218005,0.0158337949775067,0.0513214501271779,0.0142702846942146,0.100520596592863,0.0127319201250037
ollama:allam-7b,0.1727762587801372,0.0238462982169748,0.0311597908941555,0.0323319372229104,0.001674695995761,0.0326628156594831,0.059074599657646,0.0165518026965121,0.0103923236717163,0.021888379372332,0.0048793369649496,0.0258135309237186,0.0260123960077476,0.0127818401412409,0.0104804209877337,0.0140192230754439,0.0129912794684201,0.0156041873973123,0.0870416065624006,0.0176533816127884,0.0121205811565016,0.0266082185017711,0.0630588599975147,0.0246700381378692
ollama:taide-llama3-8b,0.1563104766113313,0.033140633111427,-0.0035252997097079,0.0281522010447035,-0.0326078410478719,0.027087297158025,0.0554581494263533,0.0172232676727568,-0.0063470793392845,0.0193156356007913,-0.0006586789079789,0.0226292719629599,0.0257053731637245,0.0158850524231651,0.0014264377216555,0.0139207205340572,0.001188734015714,0.0175513111201116,0.0891092073933913,0.0241334092984479,-0.0068739998626863,0.0277278856460829,0.0097125471499848,0.0286011189367485
jamba-mini-2-2026-01,0.1714228260329083,0.0244825332679723,0.0399902621194613,0.0208440474789676,0.0327568587446372,0.0232973924441992,0.0406122260932244,0.0143683903016297,0.0193361018686931,0.0169937031061322,0.0417290159385703,0.0179615117777382,0.0226641063866905,0.0118349645275488,0.0122652165956356,0.0104768584272006,0.0187986783156819,0.010542643213447,0.0884383729479805,0.0148866809822915,0.0407620270668775,0.0161482118855644,0.0972905327785014,0.0137349972173607
