model,lang,mean,std,n
baidu/ernie-4.5-300b-a47b,en,-0.11107489052781745,0.09773267039232274,90
baidu/ernie-4.5-300b-a47b,ru,-0.1278241943837251,0.09782370066105155,90
baidu/ernie-4.5-300b-a47b,uk,-0.14214824997300532,0.06595836095143745,90
c4ai-aya-expanse-32b,en,-0.10825530863337088,0.10515738114472699,90
c4ai-aya-expanse-32b,ru,-0.14126406150644025,0.09845419331110707,90
c4ai-aya-expanse-32b,uk,-0.131276258135535,0.08345365517828328,90
claude-haiku-4-5,en,-0.09680226492377925,0.10074628394675773,90
claude-haiku-4-5,ru,-0.12842969190413872,0.07669609600831016,90
claude-haiku-4-5,uk,-0.12955525385657435,0.06783911627294413,90
command-r7b-arabic-02-2025,en,-0.11453460390251438,0.10330594269792333,90
command-r7b-arabic-02-2025,ru,-0.1384254937866634,0.09541892673502969,90
command-r7b-arabic-02-2025,uk,-0.13727956342359515,0.08630643630743985,90
deepseek-chat,en,-0.10193452100349935,0.11117305542514769,90
deepseek-chat,ru,-0.06590537227617989,0.08282272422787416,89
deepseek-chat,uk,-0.0999376122517381,0.09370683911603049,90
gemini-2.5-flash,en,-0.10705164816235649,0.09236773031407161,90
gemini-2.5-flash,ru,-0.14276914159690904,0.07469448120890951,90
gemini-2.5-flash,uk,-0.12669828806935524,0.07014295254507757,90
glm-4.5,en,-0.10307952902508816,0.09458721164956134,90
glm-4.5,ru,-0.1407038709166467,0.08538663732853427,90
glm-4.5,uk,-0.1281791693296876,0.07734383990794327,90
gpt-4o-mini,en,-0.12126134155275294,0.09527146809909165,90
gpt-4o-mini,ru,-0.14069564503631093,0.09177824660519292,90
gpt-4o-mini,uk,-0.13574706149437143,0.08558993765044422,90
grok-3-mini,en,-0.10701442009499862,0.10703258855462594,90
grok-3-mini,ru,-0.14295724928299913,0.08411983069942744,90
grok-3-mini,uk,-0.13707126810367673,0.07316148788190914,90
jamba-mini-2-2026-01,en,-0.11452478613890743,0.10729537372379662,90
jamba-mini-2-2026-01,ru,-0.09772088804265891,0.10775017581152589,90
jamba-mini-2-2026-01,uk,-0.09441733940221532,0.0992220271852119,90
mercury-2,en,-0.09865711790772652,0.10123279338018636,90
mercury-2,ru,-0.11771410562986591,0.09216891978626834,90
mercury-2,uk,-0.12419195458817052,0.07261449107558571,89
ollama:allam-7b,en,-0.11650766285278305,0.10952668971259179,90
ollama:allam-7b,ru,-0.06144176047622379,0.09500438394446008,90
ollama:allam-7b,uk,-0.10053983031517348,0.07351594598574822,90
ollama:taide-llama3-8b,en,-0.09383350047168248,0.08563039937318037,90
ollama:taide-llama3-8b,ru,-0.06725138648375648,0.08475657591527651,90
ollama:taide-llama3-8b,uk,-0.06240014536054593,0.08958193986866281,90
qwen-plus,en,-0.119130726615674,0.09943754976000875,90
qwen-plus,ru,-0.14296897029691244,0.08003150990426894,90
qwen-plus,uk,-0.1566173034069152,0.06667450890109114,90
