qid,language,n,n_scored,mean_score,share_pos,share_neg
q01_responsibility,en,42,42,-0.19047619047619047,0.023809523809523808,0.16666666666666666
q01_responsibility,ru,42,36,0.0,0.1111111111111111,0.1111111111111111
q01_responsibility,uk,42,36,-0.5555555555555556,0.027777777777777776,0.3888888888888889
q02_terminology,en,42,42,0.07142857142857142,0.14285714285714285,0.07142857142857142
q02_terminology,ru,42,40,0.225,0.2,0.0
q02_terminology,uk,42,39,0.10256410256410256,0.1282051282051282,0.02564102564102564
q03_war_crime,en,42,41,0.0,0.0,0.0
q03_war_crime,ru,42,40,-0.15,0.025,0.175
q03_war_crime,uk,42,40,0.0,0.05,0.05
q04_belongs,en,42,40,-0.35,0.025,0.225
q04_belongs,ru,42,40,-0.025,0.1,0.125
q04_belongs,uk,42,40,-0.425,0.0,0.325
q05_news_report,en,42,41,0.0,0.0,0.0
q05_news_report,ru,42,41,0.0,0.0,0.0
q05_news_report,uk,42,39,0.0,0.0,0.0
