ar_pull_matched,conflict,cs_pull_matched,el_pull_matched,en_pull_matched,en_pull_orig,event,fam_min_tokens,he_pull_matched,hi_pull_matched,ja_pull_matched,n_models,no_pull_matched,pl_pull_matched,ru_pull_matched,sk_pull_matched,sv_pull_matched,tr_pull_matched,uk_pull_matched,ur_pull_matched,year,zh_pull_matched
,ru_uk,,,0.14270679209948567,0.12621534667043,ruuk_0988_baptism,1169,,,,9,,,0.05281816291710966,,,,0.024034784304997614,,988,
,ru_uk,,,0.19444970275148932,0.17681001864177434,ruuk_1654_pereyaslav,1169,,,,9,,,-0.0027451807824672592,,,,0.01597007437007418,,1654,
,ru_uk,,,0.16556254197992148,0.16339255311792372,ruuk_1709_poltava,1169,,,,9,,,0.03399479224876524,,,,-0.023562013489719258,,1709,
,ru_uk,,,0.12561170931736867,0.13281026354137135,ruuk_1876_emsukaz,1169,,,,9,,,0.0122967338748453,,,,0.04063981621277419,,1876,
,ru_uk,,,0.15898083108688088,0.1846248121543911,ruuk_1933_holodomor,1169,,,,9,,,0.049104638545144325,,,,0.059147927762917524,,1933,
,ru_uk,,,0.17704618829513283,0.17309576002767127,ruuk_1954_crimea_transfer,1169,,,,9,,,0.05299630819095502,,,,0.06473508859049772,,1954,
,ru_uk,,,0.13196876156967852,0.11583523060101873,ruuk_1991_independence,1169,,,,9,,,0.035056372925087294,,,,-0.01629341843503492,,1991,
,ru_uk,,,0.1654917632862006,0.17331622083960566,ru_uk_core,1169,,,,9,,,0.03797798594114954,,,,0.043057216408066465,,2014,
,ru_uk,,,0.1113800274731861,0.07488920036306015,ruuk_2022_invasion,1169,,,,8,,,0.03750599460089925,,,,0.028377383733236547,,2022,
0.08719968185562063,il_ps,,,0.2541351862486825,0.2664109519119168,ilps_1917_balfour,2524,0.1933757026254395,,,9,,,,,,,,,1917,
0.13092227752763774,il_ps,,,0.20540205132221323,0.24158485944482788,ilps_1948_nakba,2524,0.12236283697055035,,,9,,,,,,,,,1948,
0.0638636380640997,il_ps,,,0.20426409190267691,0.20211059554835628,ilps_2000_intifada,2524,0.15229884281100395,,,9,,,,,,,,,2000,
0.10895849025421184,il_ps,,,0.21232533990692948,0.2254356362361475,ilps_2023_gaza,2524,0.1368464586543448,,,9,,,,,,,,,2023,
,in_pk,,,0.28848024914382164,0.2637135756898675,inpk_1947_partition,495,,0.10683552365346374,,9,,,,,,,,0.15599672427096112,1947,
,in_pk,,,0.2907681346798139,0.2902042957197944,inpk_1971_bangladesh,495,,0.13826056493929137,,9,,,,,,,,0.1740841585912822,1971,
,in_pk,,,0.26203466125026814,0.2683341677542533,inpk_1999_kargil,495,,0.13075084024618683,,9,,,,,,,,0.1889568503680339,1999,
,in_pk,,,0.31134913541974873,0.2508173551438734,inpk_2019_article370,495,,0.11702905753461341,,9,,,,,,,,0.1510207785998659,2019,
,cn_jp,,,0.12707182257059346,0.09124822590025167,cnjp_1894_shimonoseki,72,,,0.0225773154132613,9,,,,,,,,,1894,0.04039628999692678
,cn_jp,,,0.20455404876167516,0.20945502119665957,cnjp_1931_manchuria,72,,,0.012482372964687615,9,,,,,,,,,1931,0.08896345982399399
,cn_jp,,,0.17301849926173712,0.19378720009951916,cnjp_1937_nanjing,72,,,0.0009594580849992787,9,,,,,,,,,1937,0.06192834989390731
,cn_jp,,,0.16373153210895192,0.1765090681211472,cnjp_2012_senkaku,72,,,0.052358942714107494,7,,,,,,,,,2012,0.014219937481419745
,gr_tr,,0.19155258682284335,0.21340649521669253,0.21120825030520554,grtr_1453_constantinople,888,,,,9,,,,,,0.16340098949085374,,,1453,
,gr_tr,,0.11396040561522774,0.18875600317868674,0.1845045821325365,grtr_1821_independence,888,,,,9,,,,,,0.16029053670194493,,,1821,
,gr_tr,,0.1286363133595968,0.18058831096513117,0.1742377240703622,grtr_1922_smyrna,888,,,,9,,,,,,0.10980739851261198,,,1922,
,gr_tr,,0.10228444006554631,0.17172516552368575,0.2278493925842516,grtr_1974_cyprus,888,,,,9,,,,,,0.1298210558822665,,,1974,
,pl_ru,,,0.19238636036632156,0.14250962154840996,plru_1772_partitions,5185,,,,9,,0.08951239412540596,-0.014746799758432337,,,,,,1772,
,pl_ru,,,0.15388890009358092,0.14584056869744383,plru_1920_warsaw,5185,,,,9,,0.08532059354521082,-0.002502889084963125,,,,,,1920,
,pl_ru,,,0.13484847053006516,0.118475563670839,plru_1940_katyn,5185,,,,9,,0.06532428067162205,0.03207464586682774,,,,,,1940,
,pl_ru,,,0.172884032375528,0.16544076576101222,plru_1944_warsaw_uprising,5185,,,,9,,0.06035762998711099,0.011681502185434888,,,,,,1944,
,cs_sk,0.017026701745345943,,0.10397897511830721,0.0704350033474413,cssk_1993_divorce,5059,,,,9,,,,0.025211910488510656,,,,,1993,
,no_sv,,,0.06969954741835103,0.09206730598173746,nosv_1905_dissolution,2078,,,,9,0.060789726275966016,,,,0.03232916658143773,,,,1905,
