conflict,event,year,lang,n,refusal_pct
China–Japan,cnjp_1894_shimonoseki,1894,en,242,0.0
China–Japan,cnjp_1894_shimonoseki,1894,ja,242,1.7
China–Japan,cnjp_1894_shimonoseki,1894,zh,239,1.7
China–Japan,cnjp_1931_manchuria,1931,en,233,0.0
China–Japan,cnjp_1931_manchuria,1931,ja,243,2.5
China–Japan,cnjp_1931_manchuria,1931,zh,239,1.3
China–Japan,cnjp_1937_nanjing,1937,en,238,2.1
China–Japan,cnjp_1937_nanjing,1937,ja,241,7.9
China–Japan,cnjp_1937_nanjing,1937,zh,241,5.8
China–Japan,cnjp_2012_senkaku,2012,en,195,0.5
China–Japan,cnjp_2012_senkaku,2012,ja,198,3.5
China–Japan,cnjp_2012_senkaku,2012,zh,206,1.0
Greece–Turkey,grtr_1453_constantinople,1453,el,243,0.0
Greece–Turkey,grtr_1453_constantinople,1453,en,233,0.0
Greece–Turkey,grtr_1453_constantinople,1453,tr,243,0.4
Greece–Turkey,grtr_1821_independence,1821,el,233,0.0
Greece–Turkey,grtr_1821_independence,1821,en,243,0.0
Greece–Turkey,grtr_1821_independence,1821,tr,243,2.9
Greece–Turkey,grtr_1922_smyrna,1922,el,243,0.4
Greece–Turkey,grtr_1922_smyrna,1922,en,243,0.0
Greece–Turkey,grtr_1922_smyrna,1922,tr,243,2.5
Greece–Turkey,grtr_1974_cyprus,1974,el,243,0.8
Greece–Turkey,grtr_1974_cyprus,1974,en,243,0.0
Greece–Turkey,grtr_1974_cyprus,1974,tr,242,0.0
India–Pakistan,inpk_1947_partition,1947,en,242,0.0
India–Pakistan,inpk_1947_partition,1947,hi,243,0.8
India–Pakistan,inpk_1947_partition,1947,ur,242,1.7
India–Pakistan,inpk_1971_bangladesh,1971,en,243,0.0
India–Pakistan,inpk_1971_bangladesh,1971,hi,243,0.4
India–Pakistan,inpk_1971_bangladesh,1971,ur,243,0.0
India–Pakistan,inpk_1999_kargil,1999,en,243,1.2
India–Pakistan,inpk_1999_kargil,1999,hi,243,0.4
India–Pakistan,inpk_1999_kargil,1999,ur,243,3.3
India–Pakistan,inpk_2019_article370,2019,en,242,0.0
India–Pakistan,inpk_2019_article370,2019,hi,243,0.8
India–Pakistan,inpk_2019_article370,2019,ur,243,2.1
Israel–Palestine,ilps_1917_balfour,1917,ar,243,0.8
Israel–Palestine,ilps_1917_balfour,1917,en,243,0.0
Israel–Palestine,ilps_1917_balfour,1917,he,243,0.0
Israel–Palestine,ilps_1948_nakba,1948,ar,243,0.8
Israel–Palestine,ilps_1948_nakba,1948,en,243,0.0
Israel–Palestine,ilps_1948_nakba,1948,he,243,0.4
Israel–Palestine,ilps_2000_intifada,2000,ar,243,2.1
Israel–Palestine,ilps_2000_intifada,2000,en,243,0.0
Israel–Palestine,ilps_2000_intifada,2000,he,243,0.0
Israel–Palestine,ilps_2023_gaza,2023,ar,243,2.5
Israel–Palestine,ilps_2023_gaza,2023,en,243,1.6
Israel–Palestine,ilps_2023_gaza,2023,he,243,0.4
Norway–Sweden (settled),nosv_1905_dissolution,1905,en,243,0.0
Norway–Sweden (settled),nosv_1905_dissolution,1905,no,243,0.8
Norway–Sweden (settled),nosv_1905_dissolution,1905,sv,243,0.0
Poland–Russia,plru_1772_partitions,1772,en,243,0.0
Poland–Russia,plru_1772_partitions,1772,pl,243,0.0
Poland–Russia,plru_1772_partitions,1772,ru,243,0.0
Poland–Russia,plru_1920_warsaw,1920,en,243,0.0
Poland–Russia,plru_1920_warsaw,1920,pl,243,0.0
Poland–Russia,plru_1920_warsaw,1920,ru,243,1.2
Poland–Russia,plru_1940_katyn,1940,en,243,0.4
Poland–Russia,plru_1940_katyn,1940,pl,243,1.2
Poland–Russia,plru_1940_katyn,1940,ru,243,6.2
Poland–Russia,plru_1944_warsaw_uprising,1944,en,243,1.2
Poland–Russia,plru_1944_warsaw_uprising,1944,pl,243,1.6
Poland–Russia,plru_1944_warsaw_uprising,1944,ru,243,1.6
Russia–Ukraine,ruuk_0988_baptism,988,en,494,0.0
Russia–Ukraine,ruuk_0988_baptism,988,ru,495,0.0
Russia–Ukraine,ruuk_0988_baptism,988,uk,494,0.0
Russia–Ukraine,ruuk_1654_pereyaslav,1654,en,493,0.0
Russia–Ukraine,ruuk_1654_pereyaslav,1654,ru,495,0.0
Russia–Ukraine,ruuk_1654_pereyaslav,1654,uk,495,0.2
Russia–Ukraine,ruuk_1709_poltava,1709,en,458,0.0
Russia–Ukraine,ruuk_1709_poltava,1709,ru,455,1.5
Russia–Ukraine,ruuk_1709_poltava,1709,uk,455,0.0
Russia–Ukraine,ruuk_1876_emsukaz,1876,en,450,1.3
Russia–Ukraine,ruuk_1876_emsukaz,1876,ru,450,1.8
Russia–Ukraine,ruuk_1876_emsukaz,1876,uk,450,0.9
Russia–Ukraine,ruuk_1933_holodomor,1933,en,449,0.0
Russia–Ukraine,ruuk_1933_holodomor,1933,ru,449,2.7
Russia–Ukraine,ruuk_1933_holodomor,1933,uk,445,1.1
Russia–Ukraine,ruuk_1954_crimea_transfer,1954,en,418,0.0
Russia–Ukraine,ruuk_1954_crimea_transfer,1954,ru,418,0.0
Russia–Ukraine,ruuk_1954_crimea_transfer,1954,uk,418,0.0
Russia–Ukraine,ruuk_1991_independence,1991,en,405,0.0
Russia–Ukraine,ruuk_1991_independence,1991,ru,405,1.7
Russia–Ukraine,ruuk_1991_independence,1991,uk,405,0.0
Russia–Ukraine,ru_uk_core,2014,en,1632,5.8
Russia–Ukraine,ru_uk_core,2014,ru,1626,6.9
Russia–Ukraine,ru_uk_core,2014,uk,1636,6.5
Russia–Ukraine,ruuk_2022_invasion,2022,en,404,0.2
Russia–Ukraine,ruuk_2022_invasion,2022,ru,405,5.9
Russia–Ukraine,ruuk_2022_invasion,2022,uk,404,1.7
Velvet Divorce (settled),cssk_1993_divorce,1993,cs,243,0.0
Velvet Divorce (settled),cssk_1993_divorce,1993,en,242,0.0
Velvet Divorce (settled),cssk_1993_divorce,1993,sk,243,0.0
